GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US02459,ZCTA5 02459,19473,757
8600000US02460,ZCTA5 02460,9911,766
8600000US02461,ZCTA5 02461,7214,428
8600000US02462,ZCTA5 02462,1520,243
8600000US02464,ZCTA5 02464,3155,408
8600000US02465,ZCTA5 02465,12112,728
8600000US02466,ZCTA5 02466,8568,514
8600000US02467,ZCTA5 02467,22105,892
8600000US02468,ZCTA5 02468,5568,422
8600000US02472,ZCTA5 02472,34715,186
8600000US02474,ZCTA5 02474,28028,595
8600000US02476,ZCTA5 02476,16964,593
8600000US02478,ZCTA5 02478,25940,32
8600000US02481,ZCTA5 02481,16309,407
8600000US02482,ZCTA5 02482,11015,417
8600000US02492,ZCTA5 02492,20128,457
8600000US02493,ZCTA5 02493,12027,23
8600000US02494,ZCTA5 02494,10301,455
8600000US02532,ZCTA5 02532,13337,721
8600000US02534,ZCTA5 02534,815,322
8600000US02535,ZCTA5 02535,1757,283
8600000US02536,ZCTA5 02536,19191,678
8600000US02537,ZCTA5 02537,6572,599
8600000US02538,ZCTA5 02538,3571,632
8600000US02539,ZCTA5 02539,4292,18
8600000US02540,ZCTA5 02540,8294,732
8600000US02542,ZCTA5 02542,881,185
8600000US02543,ZCTA5 02543,909,210
8600000US02553,ZCTA5 02553,35,39
8600000US02554,ZCTA5 02554,10590,147
8600000US02556,ZCTA5 02556,2869,375
8600000US02557,ZCTA5 02557,4675,14
8600000US02558,ZCTA5 02558,749,379
8600000US02559,ZCTA5 02559,4028,502
8600000US02561,ZCTA5 02561,325,249
8600000US02562,ZCTA5 02562,3008,318
8600000US02563,ZCTA5 02563,9501,579
8600000US02564,ZCTA5 02564,312,148
8600000US02568,ZCTA5 02568,4100,23
8600000US02571,ZCTA5 02571,10940,881
8600000US02575,ZCTA5 02575,2417,286
8600000US02576,ZCTA5 02576,4873,545
8600000US02584,ZCTA5 02584,10,15
8600000US02601,ZCTA5 02601,15063,887
8600000US02630,ZCTA5 02630,2277,522
8600000US02631,ZCTA5 02631,9736,98
8600000US02632,ZCTA5 02632,9923,715
8600000US02633,ZCTA5 02633,4055,319
8600000US02635,ZCTA5 02635,3301,515
8600000US02637,ZCTA5 02637,141,95
8600000US02638,ZCTA5 02638,3011,349
8600000US02639,ZCTA5 02639,2949,430
8600000US02641,ZCTA5 02641,191,105
8600000US02642,ZCTA5 02642,4908,27
8600000US02643,ZCTA5 02643,0,12
8600000US02644,ZCTA5 02644,4393,438
8600000US02645,ZCTA5 02645,9516,374
8600000US02646,ZCTA5 02646,1806,326
8600000US02647,ZCTA5 02647,121,102
8600000US02648,ZCTA5 02648,6589,610
8600000US02649,ZCTA5 02649,14054,23
8600000US02650,ZCTA5 02650,906,216
8600000US02651,ZCTA5 02651,0,12
8600000US02652,ZCTA5 02652,942,223
8600000US02653,ZCTA5 02653,5905,90
8600000US02655,ZCTA5 02655,3257,388
8600000US02657,ZCTA5 02657,2952,18
8600000US02659,ZCTA5 02659,1030,247
8600000US02660,ZCTA5 02660,6657,396
8600000US02663,ZCTA5 02663,96,85
8600000US02664,ZCTA5 02664,9226,474
