"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US75938","ZCTA5 75938","2686","419",
"8600000US75939","ZCTA5 75939","4939","492",
"8600000US75941","ZCTA5 75941","8974","529",
"8600000US75942","ZCTA5 75942","198","133",
"8600000US75943","ZCTA5 75943","1349","297",
"8600000US75944","ZCTA5 75944","1409","239",
"8600000US75946","ZCTA5 75946","3209","304",
"8600000US75948","ZCTA5 75948","6037","476",
"8600000US75949","ZCTA5 75949","7376","743",
"8600000US75951","ZCTA5 75951","16072","787",
"8600000US75954","ZCTA5 75954","3079","473",
"8600000US75956","ZCTA5 75956","8533","906",
"8600000US75959","ZCTA5 75959","742","284",
"8600000US75960","ZCTA5 75960","857","302",
"8600000US75961","ZCTA5 75961","15484","1025",
"8600000US75962","ZCTA5 75962","3204","367",
"8600000US75964","ZCTA5 75964","19086","982",
"8600000US75965","ZCTA5 75965","18811","976",
"8600000US75966","ZCTA5 75966","5287","594",
"8600000US75968","ZCTA5 75968","1883","356",
"8600000US75969","ZCTA5 75969","3726","559",
"8600000US75972","ZCTA5 75972","6040","357",
"8600000US75973","ZCTA5 75973","2470","350",
"8600000US75974","ZCTA5 75974","3245","437",
"8600000US75975","ZCTA5 75975","3727","527",
"8600000US75976","ZCTA5 75976","806","187",
"8600000US75977","ZCTA5 75977","471","210",
"8600000US75978","ZCTA5 75978","145","96",
"8600000US75979","ZCTA5 75979","12384","824",
"8600000US75980","ZCTA5 75980","2500","355",
"8600000US76001","ZCTA5 76001","31829","1349",
"8600000US76002","ZCTA5 76002","36569","2595",
"8600000US76006","ZCTA5 76006","23259","1154",
"8600000US76008","ZCTA5 76008","16334","984",
"8600000US76009","ZCTA5 76009","21049","1358",
"8600000US76010","ZCTA5 76010","57813","1887",
"8600000US76011","ZCTA5 76011","22953","974",
"8600000US76012","ZCTA5 76012","26571","1202",
"8600000US76013","ZCTA5 76013","33169","1211",
"8600000US76014","ZCTA5 76014","35235","1512",
"8600000US76015","ZCTA5 76015","16464","807",
"8600000US76016","ZCTA5 76016","30808","1064",
"8600000US76017","ZCTA5 76017","47010","1351",
"8600000US76018","ZCTA5 76018","31416","2173",
"8600000US76020","ZCTA5 76020","27714","1246",
"8600000US76021","ZCTA5 76021","35903","790",
"8600000US76022","ZCTA5 76022","13059","790",
"8600000US76023","ZCTA5 76023","5930","857",
"8600000US76028","ZCTA5 76028","67388","1204",
"8600000US76031","ZCTA5 76031","18050","1204",
"8600000US76033","ZCTA5 76033","25190","748",
"8600000US76034","ZCTA5 76034","25557","46",
"8600000US76035","ZCTA5 76035","1466","354",
"8600000US76036","ZCTA5 76036","25736","1153",
"8600000US76039","ZCTA5 76039","33750","1019",
"8600000US76040","ZCTA5 76040","32301","1466",
"8600000US76041","ZCTA5 76041","331","269",
"8600000US76043","ZCTA5 76043","7509","339",
"8600000US76044","ZCTA5 76044","3799","319",
"8600000US76048","ZCTA5 76048","23702","1115",
"8600000US76049","ZCTA5 76049","27889","1132",
"8600000US76050","ZCTA5 76050","5747","737",
"8600000US76051","ZCTA5 76051","51685","110",
"8600000US76052","ZCTA5 76052","20779","1823",
"8600000US76053","ZCTA5 76053","30567","991",
"8600000US76054","ZCTA5 76054","11948","539",
"8600000US76055","ZCTA5 76055","2643","279",
"8600000US76058","ZCTA5 76058","18068","854",
"8600000US76059","ZCTA5 76059","5211","407",
"8600000US76060","ZCTA5 76060","7638","247",
"8600000US76061","ZCTA5 76061","84","122",
"8600000US76063","ZCTA5 76063","69146","855",
"8600000US76064","ZCTA5 76064","1790","369",
"8600000US76065","ZCTA5 76065","34291","870",
"8600000US76066","ZCTA5 76066","3193","603",
"8600000US76067","ZCTA5 76067","20561","553",
"8600000US76070","ZCTA5 76070","731","296",
"8600000US76071","ZCTA5 76071","4069","476",
"8600000US76073","ZCTA5 76073","6155","652",
"8600000US76077","ZCTA5 76077","419","167",
"8600000US76078","ZCTA5 76078","10366","958",
"8600000US76082","ZCTA5 76082","18030","1186",
"8600000US76084","ZCTA5 76084","8456","761",
"8600000US76085","ZCTA5 76085","10747","1129",
"8600000US76086","ZCTA5 76086","22311","612",
"8600000US76087","ZCTA5 76087","26889","1630",
"8600000US76088","ZCTA5 76088","11854","1063",
"8600000US76092","ZCTA5 76092","30138","377",
"8600000US76093","ZCTA5 76093","1680","401",
"8600000US76102","ZCTA5 76102","9803","609",
"8600000US76103","ZCTA5 76103","13689","905",
"8600000US76104","ZCTA5 76104","18199","949",
"8600000US76105","ZCTA5 76105","21661","1186",
"8600000US76106","ZCTA5 76106","39218","1720",
"8600000US76107","ZCTA5 76107","30110","1071",
"8600000US76108","ZCTA5 76108","41418","1153",
